"","indicator_1","indicator_1a","indicator_1b","indicator_2","indicator_3","indicator_4","indicator_5","indicator_6","indicator_7d","indicator_8","indicator_9","indicator_11c","indicator_13","indicator_15","indicator_16","indicator_21","practice_id"
"24",0.456310679611651,0.35,0.76,0.0380359612724758,0.452380952380952,0.423076923076923,0.153846153846154,0.0394736842105263,0.545454545454545,0.5,0.0642201834862385,0.0263157894736842,1,0.907894736842105,0.157894736842105,0.333333333333333,"Practice 25"
"25",0.333333333333333,0.363636363636364,0.363636363636364,0.0204081632653061,0.7,0.777777777777778,NA,0.02,1,0.34,0.0441176470588235,0.06,0.666666666666667,0.62,0.2,NA,"Practice 26"
"26",0.510204081632653,0.352941176470588,0.727272727272727,0.0368589743589744,0.68421052631579,0.633333333333333,0.181818181818182,0.171428571428571,0.428571428571429,0.628571428571429,0.232558139534884,0.0571428571428571,0.5,0.942857142857143,0.0833333333333333,0.545454545454545,"Practice 27"
"27",0.63768115942029,0.634615384615385,0.807692307692308,0.0271777003484321,0.514285714285714,0.5,0.125,0.0784313725490196,0.454545454545455,0.470588235294118,0.0709677419354839,0.254901960784314,0.888888888888889,0.892156862745098,0.0555555555555556,0.25,"Practice 28"
"28",0.6,0.5,1,0.0163934426229508,0.25,0.4,NA,NA,NA,0.235294117647059,0.025,NA,1,0.588235294117647,NA,NA,"Practice 29"
"29",0.529411764705882,0.333333333333333,0.857142857142857,0.037344398340249,0.5,0.636363636363636,0.25,0.0666666666666667,NA,0.4,0.0952380952380952,NA,1,1,NA,NA,"Practice 30"
"30",0.5625,0.538461538461538,0.857142857142857,0.0484848484848485,0.5,0.8,NA,0.173913043478261,NA,0.652173913043478,0.0277777777777778,NA,NA,1,0.333333333333333,1,"Practice 31"
"31",0.583333333333333,0.333333333333333,0.8,0.0134831460674157,0.444444444444444,0.142857142857143,0.25,NA,NA,0.2,0.0434782608695652,0.025,0.5,0.45,0.0666666666666667,0.25,"Practice 32"
"32",0.380952380952381,0.25,0.6,0.045766590389016,0.25,0.75,NA,0.142857142857143,NA,0.428571428571429,0.0571428571428571,0.0714285714285714,0.5,0.714285714285714,NA,NA,"Practice 33"
"33",0.444444444444444,0.37037037037037,0.659090909090909,0.0361794500723589,0.493506493506494,0.596774193548387,0.25,0.1,0.727272727272727,0.55,0.0840336134453782,NA,0.777777777777778,0.9,0.0416666666666667,0.363636363636364,"Practice 34"
"34",0.455696202531646,0.351851851851852,0.793103448275862,0.0271158586688579,0.5,0.476190476190476,0.05,0.0508474576271187,0.25,0.406779661016949,0.0222222222222222,0.0508474576271187,0.666666666666667,0.847457627118644,0.1875,0.388888888888889,"Practice 35"
"35",0.333333333333333,0.333333333333333,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice 36"
"36",0.428571428571429,0.326732673267327,0.636363636363636,0.0435374149659864,0.444444444444444,0.432432432432432,0.361111111111111,0.0694444444444445,0.466666666666667,0.5,0.225490196078431,0.0277777777777778,0.666666666666667,0.861111111111111,0.0357142857142857,0.352941176470588,"Practice 37"
"37",0.2,0.25,NA,0.0317460317460317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Practice 38"
"38",0.545454545454545,0.2,0.833333333333333,0.0309653916211293,0.428571428571429,0.142857142857143,NA,0.0434782608695652,NA,0.217391304347826,0.0833333333333333,0.0434782608695652,0.666666666666667,0.652173913043478,NA,NA,"Practice 39"
"39",0.282051282051282,0.1875,0.857142857142857,0.0196386488609584,0.470588235294118,0.714285714285714,0.25,0.0357142857142857,NA,0.285714285714286,0.0487804878048781,NA,0.5,0.892857142857143,0.2,0.5,"Practice 40"
"40",0.0790960451977401,0.0217391304347826,0.0980392156862745,0.0190288713910761,0.363636363636364,0.375,0.25,NA,0.666666666666667,0.25,0.0204081632653061,NA,0.666666666666667,0.857142857142857,NA,0.4,"Practice 41"
"41",0.666666666666667,0.636363636363636,0.666666666666667,0.0205992509363296,0.473684210526316,0.277777777777778,NA,0.0277777777777778,NA,0.416666666666667,0.106382978723404,0.111111111111111,NA,0.777777777777778,NA,0.2,"Practice 43"
"42",0.455555555555556,0.323076923076923,0.71875,0.0295021511985249,0.5,0.48,0.0952380952380952,0.0909090909090909,0.454545454545455,0.376623376623377,0.091743119266055,0.207792207792208,0.857142857142857,0.844155844155844,0.0769230769230769,0.176470588235294,"Practice 44"
"43",0.777777777777778,0.714285714285714,1,0.0272727272727273,0.111111111111111,0.466666666666667,NA,0.0769230769230769,0.5,0.384615384615385,0.125,0.230769230769231,1,0.538461538461538,0.142857142857143,1,"Practice 45"
"44",0.420289855072464,0.347826086956522,0.5,0.0125223613595707,0.454545454545455,0.441176470588235,0.230769230769231,NA,0.8,0.185185185185185,0.0431034482758621,0.320987654320988,0.653846153846154,0.82716049382716,0.1,0.4,"Practice 46"
"45",NA,NA,NA,0.00275482093663912,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,"Practice 47"
"46",0.586956521739131,0.466666666666667,0.785714285714286,0.0209481808158765,0.7,0.384615384615385,NA,0.142857142857143,1,0.4,0.0175438596491228,NA,1,0.885714285714286,0.111111111111111,0.333333333333333,"Practice 48"
"47",0.357615894039735,0.252100840336134,0.7,0.0299194476409666,0.625,0.525641025641026,0.225806451612903,0.0551181102362205,0.8,0.385826771653543,0.0413793103448276,0.0078740157480315,0.666666666666667,0.905511811023622,0.222222222222222,0.206896551724138,"Practice 49"
"48",0.3,0.181818181818182,0.571428571428571,0.0104712041884817,0.333333333333333,0.333333333333333,NA,NA,NA,NA,NA,NA,NA,1,0.5,1,"Practice 50"
"49",1,1,NA,NA,0.333333333333333,NA,NA,NA,NA,NA,0.5,NA,NA,1,NA,NA,"Practice 51"
"50",0.363636363636364,0.388888888888889,0.4,0.0136986301369863,0.454545454545455,0.555555555555556,NA,NA,NA,0.433333333333333,0.025,NA,0.75,0.466666666666667,0.166666666666667,0.333333333333333,"Practice 52"
"51",0.285714285714286,0.25,0.5,0.0294117647058824,0.5,0.5,1,0.5,NA,0.333333333333333,0.125,NA,NA,1,NA,NA,"Practice 53"
"52",0.68421052631579,0.571428571428571,1,0.0415754923413567,0.692307692307692,0.4375,NA,0.0740740740740741,0.25,0.259259259259259,0.0769230769230769,0.0740740740740741,0.5,0.777777777777778,0.222222222222222,0.333333333333333,"Practice 54"
"53",0.1,NA,0.5,0.0256410256410256,0.125,0.0769230769230769,NA,NA,NA,0.266666666666667,0.0555555555555556,NA,0.5,0.6,NA,0.25,"Practice 55"
"54",0.5,0.333333333333333,0.5,0.0126582278481013,NA,1,NA,NA,NA,0.25,NA,NA,NA,1,NA,NA,"Practice 56"
